volume_range;filled_volume
(59.9 60.0];1.1
(60.0 60.1];1.1
(60.1 60.2];1.1
(60.2 60.3];1.1
(60.3 60.4];1.1
(60.4 60.5];1.1
(60.5 60.6];1.1
(60.6 60.7];1.1
(60.7 60.8];1.1
(60.8 60.9];1.1
(60.9 61.0];1.1
(61.0 61.1];1.1
(61.1 61.2];1.1
(61.2 61.3];1.1
(61.3 61.4];1.1
(61.4 61.5];1.1
(61.5 61.6];1.1
(61.6 61.7];1.1
(61.7 61.8];1.1
(61.8 61.9];1.1
(61.9 62.0];1.1
(62.0 62.1];1.1
(62.1 62.2];1.1
(62.2 62.3];1.1
(62.3 62.4];1.1
(62.4 62.5];1.1
(62.5 62.6];1.1
(62.6 62.7];1.1
(62.7 62.8];1.1
(62.8 62.9];1.1
(62.9 63.0];1.1
(63.0 63.1];1.1
(63.1 63.2];1.1
(63.2 63.3];1.1
(63.3 63.4];1.1
(63.4 63.5];1.1
(63.5 63.6];1.1
(63.6 63.7];1.1
(63.7 63.8];1.1
(63.8 63.9];1.1
(63.9 64.0];1.1
(64.0 64.1];1
(64.1 64.2];1
(64.2 64.3];1
(64.3 64.4];1
(64.4 64.5];1
(64.5 64.6];1
(64.6 64.7];1
(64.7 64.8];1
(64.8 64.9];1
(64.9 65.0];1
(65.0 65.1];1
(65.1 65.2];1
(65.2 65.3];1
(65.3 65.4];1
(65.4 65.5];1
(65.5 65.6];1
(65.6 65.7];1
(65.7 65.8];1
(65.8 65.9];1
(65.9 66.0];1
(66.0 66.1];1
(66.1 66.2];1
(66.2 66.3];1
(66.3 66.4];1
(66.4 66.5];1
(66.5 66.6];1
(66.6 66.7];1
(66.7 66.8];1
(66.8 66.9];1
(66.9 67.0];1
(67.0 67.1];1
(67.1 67.2];1
(67.2 67.3];1
(67.3 67.4];1
(67.4 67.5];1
(67.5 67.6];1
(67.6 67.7];1
(67.7 67.8];1
(67.8 67.9];1
(67.9 68.0];1
(68.0 68.1];1
(68.1 68.2];1
(68.2 68.3];1
(68.3 68.4];1
(68.4 68.5];1
(68.5 68.6];1
(68.6 68.7];1
(68.7 68.8];1
(68.8 68.9];1
(68.9 69.0];0.96
(69.0 69.1];0.9
(69.1 69.2];0.9
(69.2 69.3];0.9
(69.3 69.4];0.9
(69.4 69.5];0.9
(69.5 69.6];0.9
(69.6 69.7];0.9
(69.7 69.8];0.9
(69.8 69.9];0.9
(69.9 70.0];0.9
(70.0 70.1];0.8
(70.1 70.2];0.8
(70.2 70.3];0.8
(70.3 70.4];0.8
(70.4 70.5];0.8
(70.5 70.6];0.8
(70.6 70.7];0.8
(70.7 70.8];0.8
(70.8 70.9];0.8
(70.9 71.0];0.8
(71.0 71.1];0.8
(71.1 71.2];0.8
(71.2 71.3];0.8
(71.3 71.4];0.8
(71.4 71.5];0.8
(71.5 71.6];0.8
(71.6 71.7];0.8
(71.7 71.8];0.8
(71.8 71.9];0.8
(71.9 72.0];0.8
(72.0 72.1];0.8
(72.1 72.2];0.8
(72.2 72.3];0.8
(72.3 72.4];0.8
(72.4 72.5];0.8
(72.5 72.6];0.8
(72.6 72.7];0.8
(72.7 72.8];0.8
(72.8 72.9];0.8
(72.9 73.0];0.8
(73.0 73.1];0.8
(73.1 73.2];0.8
(73.2 73.3];0.8
(73.3 73.4];0.8
(73.4 73.5];0.8
(73.5 73.6];0.8
(73.6 73.7];0.8
(73.7 73.8];0.8
(73.8 73.9];0.8
(73.9 74.0];0.8
(74.0 74.1];0.8
(74.1 74.2];0.8
(74.2 74.3];0.8
(74.3 74.4];0.8
(74.4 74.5];0.8
(74.5 74.6];0.8
(74.6 74.7];0.8
(74.7 74.8];0.8
(74.8 74.9];0.8
(74.9 75.0];0.8
(75.0 75.1];0.8
(75.1 75.2];0.8
(75.2 75.3];0.8
(75.3 75.4];0.8
(75.4 75.5];0.8
(75.5 75.6];0.8
(75.6 75.7];0.8
(75.7 75.8];0.8
(75.8 75.9];0.8
(75.9 76.0];0.8
(76.0 76.1];0.8
(76.1 76.2];0.8
(76.2 76.3];0.8
(76.3 76.4];0.8
(76.4 76.5];0.8
(76.5 76.6];0.8
(76.6 76.7];0.8
(76.7 76.8];0.8
(76.8 76.9];0.8
(76.9 77.0];0.8
(77.0 77.1];0.8
(77.1 77.2];0.8
(77.2 77.3];0.8
(77.3 77.4];0.8
(77.4 77.5];0.8
(77.5 77.6];0.8
(77.6 77.7];0.8
(77.7 77.8];0.8
(77.8 77.9];0.73
(77.9 78.0];0.7
(78.0 78.1];0.7
(78.1 78.2];0.7
(78.2 78.3];0.7
(78.3 78.4];0.7
(78.4 78.5];0.7
(78.5 78.6];0.7
(78.6 78.7];0.7
(78.7 78.8];0.7
(78.8 78.9];0.7
(78.9 79.0];0.7
(79.0 79.1];0.7
